Stock,WA,lh,SMSY,SMSY_5,SMSY_95,SREP,SREP_5,SREP_95
Nass,16615,1,17900,12300,24400,46400,33400,61200
Kincolith,222,1,900,600,1200,2300,1700,3000
Kwinamass,203,1,800,600,1100,2200,1600,2900
Ishkeenickh,581,1,1800,1300,2200,4500,3500,5600
Kitsault,365,1,1300,900,1600,3300,2500,4200
Nicola,7211,1,10000,7300,12900,26000,19700,32700
Spius,777,1,2000,1500,2600,5300,4100,6500
Coldwater,917,1,1100,800,1500,2900,2200,3700
Deadman,890,1,2400,1800,2900,6100,4800,7500
Louis,519,1,1600,1200,2100,4200,3200,5200
Bessette,388,1,1300,1000,1700,3400,2600,4300
Bonaparte,3499,1,6100,4600,7600,15800,12300,19300
Klinaklini,5161,1,8000,5900,10000,20600,15800,25600
Nanaimo,586,1,3300,2600,4100,8700,7700,11800
Wannock,3173,1,15300,12100,19000,42700,34000,52100
Kaouk,115,1,700,500,1200,2300,1500,3500
Artlish,125,1,800,500,1200,2500,1600,3700
Burman,242,1,1500,1000,2000,4500,3200,6100
Tahsis,77,1,500,300,900,1600,1000,2600
Tahsish,277,1,1700,1200,2300,5000,3700,6700
Marble,396,1,2300,1700,3000,6900,5300,8800
L. Shuswap,2856,1,13900,11100,17100,38900,31200,47000
M. Shuswap,616,1,3400,2700,4200,10100,8100,12300
S. Thompson,13494,1,57600,37300,87000,152000,101000,223000
Maria,33,1,200,100,500,800,400,1400
