CU,Stock,WA,lh,SGEN_value,SGEN_lwr,SGEN_upr,SMSY_value,SMSY_lwr,SMSY_upr
WCVI Nootka & Kyuquot,Artlish,63.55,1,190,44,630,420,200,890
WCVI South,Bedwell/Ursus,99.36,1,290,71,960,660,320,1300
WCVI Nootka & Kyuquot,Burman,69.89,1,200,48,690,460,220,970
WCVI North,Cayeghle,49.42,1,140,33,490,320,150,700
WCVI Nootka & Kyuquot,Conuma,19.71,1,55,12,200,120,51,300
WCVI South,Cypre,39.03,1,110,26,390,250,110,570
WCVI Nootka & Kyuquot,Gold,856.34,1,2700,680,8100,6000,3400,11000
WCVI Nootka & Kyuquot,Kaouk,100.51,1,300,72,990,680,330,1400
WCVI Nootka & Kyuquot,Leiner,109.25,1,330,78,1100,730,360,1500
WCVI North,Marble,167.51,1,500,120,1600,1100,580,2200
WCVI South,Megin,245.34,1,750,180,2400,1700,890,3200
WCVI South,Moyeha,115.68,1,350,83,1100,780,390,1600
WCVI South,Nahmint,41.74,1,120,28,420,270,120,610
WCVI South,Nitinat,356.62,1,1100,270,3400,2500,1300,4600
WCVI South,San Juan,330,1,1000,250,3200,2300,1200,4200
WCVI South,Sarita,84.22,1,250,59,830,560,270,1200
WCVI South,Somass,1056.84,1,3300,840,10000,7500,4200,13000
WCVI Nootka & Kyuquot,Tahsis,76.93,1,230,54,750,510,240,1100
WCVI Nootka & Kyuquot,Tahsish,171.97,1,520,130,1700,1200,600,2300
WCVI South,Tranquil,12.22,1,33,7,130,74,29,190
WCVI Nootka & Kyuquot,Zeballos,193.85,1,590,140,1900,1300,680,2500
