Name,WA,Latitude
Andrew Cr,126,56.669
Blossom,176,55.403
Chena,4515,64.796
Chickamin,1696,55.817
Keta,192,55.338
KSR,93,58.042
Kitsumkalum,2255,54.517
Klukshu,260,60.116
Salcha,5620,64.467
Stikine,15337,56.564
Taku,15539,58.426
Columbia Sp,114434,45.644
Unuk,3885,56.076
Chehalis,4390,46.958
Cowichan,1227,48.767
Harrison,7611,49.217
Humptulips,635,47.041
Lewis,816,45.851
Nehalem,1728,45.658
Queets,1164,47.545
Quillayute,1313,47.909
Siletz,523,44.904
Situk,176,59.435
Siuslaw,2010,44.017
Skagit,4198,48.388
